associatedReferences,associatedReferencesID,acceptedNameUsage,acceptedNameUsageID,traitName,measurementType,measurementTypeID,measurementMethod,measurementRemarks,recordLevel,measurementValue,valueSummary,measurementUnit,sampleSizeValue,variance,varianceMeasure,recordNumber,catalogNumber,verbatimEventDate,eventDate,sex,lifeStage,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,stateProvince,county,habitat
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Lasioglossum lucidulum,gbif:1355330,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.61,mean,mm,6,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Lasioglossum zonulum,gbif:1355337,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.91,mean,mm,24,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Panurgus dentipes,gbif:1355929,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.67,mean,mm,58,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena agilissima,gbif:1356870,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.94,mean,mm,4,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena bicolor,gbif:1356887,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.10,mean,mm,179,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena mitis,gbif:1356909,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.31,mean,mm,2,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena decipiens,gbif:1356936,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,1.61,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena falsifica,gbif:1356971,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.38,mean,mm,18,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena vulpecula,gbif:1356976,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,1.98,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena haemorrhoa,gbif:1356981,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.63,mean,mm,108,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena minutoloides,gbif:1356982,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.39,mean,mm,85,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena bimaculata,gbif:1357005,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.72,mean,mm,5,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena minutula,gbif:1357013,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.43,mean,mm,154,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena lathyri,gbif:1357026,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.68,mean,mm,5,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena pusilla,gbif:1357043,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.39,mean,mm,68,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena viridescens,gbif:1357099,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.42,mean,mm,10,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena lagopus,gbif:1357100,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.34,mean,mm,78,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena flavipes,gbif:1357156,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.36,mean,mm,351,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena alfkenella,gbif:1357170,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.33,mean,mm,3,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena helvola,gbif:1357179,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,2.09,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena labiata,gbif:1357207,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.78,mean,mm,10,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena labialis,gbif:1357222,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.70,mean,mm,2,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena curvungula,gbif:1357234,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.38,mean,mm,28,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena bucephala,gbif:1357239,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,2.15,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena nycthemera,gbif:1357262,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,1.51,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena florea,gbif:1357334,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.43,mean,mm,24,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena floricola,gbif:1357362,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.50,mean,mm,3,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena hattorfiana,gbif:1357364,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.71,mean,mm,2,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena saxonica,gbif:1357416,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,0.63,mean,mm,2,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena fabrella,gbif:1357476,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,0.63,mean,mm,3,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena humilis,gbif:1357477,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.23,mean,mm,6,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena subopaca,gbif:1357479,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.49,mean,mm,3,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena nitidula,gbif:1357480,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.58,mean,mm,5,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena nitidiuscula,gbif:1357495,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.97,mean,mm,20,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena marginata,gbif:1357540,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,1.95,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena granulosa,gbif:1357636,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,2.11,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena fulvago,gbif:1357646,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.06,mean,mm,38,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena fulvata,gbif:1357663,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.97,mean,mm,27,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena nigroaenea,gbif:1357665,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.84,mean,mm,23,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena aeneiventris,gbif:1357691,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,0.86,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena distinguenda,gbif:1357737,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,1.68,mean,mm,12,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena dorsata,gbif:1357872,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.03,mean,mm,111,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena trimmerana,gbif:1357930,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.25,mean,mm,23,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena carantonica,gbif:1357950,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.72,mean,mm,8,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena paucisquama,gbif:1357976,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.13,mean,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena nana,gbif:1358011,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,1.58,single observation,mm,NA,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., ... & Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (Hymenoptera: Anthophila) along an urbanization gradient. PloS one, 9(8), e104679.",https://doi.org/10.1371/journal.pone.0104679,Andrena cineraria,gbif:1358088,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,2.76,mean,mm,423,NA,NA,NA,NA,2011,NA,female,adult,Grand Lyon,45° 46′N,4° 50′E,NA,NA,NA,France,NA,NA,NA
